V(angstrom3)	P(Gpa)
3.55129864	518.3956956
3.559601468	514.0142191
3.567904297	509.6676697
3.55129864	519.1507628
3.559601468	514.7833344
3.567904297	510.4505026
3.542995811	524.2271875
3.55129864	519.836775
3.559601468	515.4806556
3.534692983	529.2473498
3.542995811	524.8311708
3.55129864	520.449113
3.526390154	534.225104
3.534692983	529.7801072
3.542995811	525.3691797
3.518087326	539.1809625
3.526390154	534.7042143
3.534692983	530.2615832
3.509784497	544.1383219
3.518087326	539.6273103
3.526390154	535.1505405
3.534692983	530.7079562
3.501481669	549.1198854
3.509784497	544.5727023
3.518087326	540.0599406
3.526390154	535.5815381
3.501481669	549.5601436
3.509784497	545.0101677
3.518087326	540.4947667
3.49317884	554.6037517
3.501481669	550.015891
3.509784497	545.4628517
3.484876012	559.7109845
3.49317884	555.0849387
3.501481669	550.4939876
3.476573183	564.8826066
3.484876012	560.2181991
3.49317884	555.5891905
3.468270355	570.1134566
3.476573183	565.4103669
3.484876012	560.7430206
3.49317884	556.1113636
3.468270355	570.6512803
3.476573183	565.9449396
3.484876012	561.274692
3.459967527	575.9275757
3.468270355	571.1810203
3.476573183	566.4710357
3.451664698	581.2244014
3.459967527	576.4357447
3.468270355	571.6842301
3.44336187	586.5269832
3.451664698	581.6936723
3.459967527	576.8981868
3.468270355	572.1405041
3.44336187	586.9408294
3.451664698	582.0983912
3.459967527	577.2945879
3.435059041	592.1657562
3.44336187	587.2730508
3.451664698	582.4199601
3.426756213	597.3602269
3.435059041	592.4138999
3.44336187	587.5083207
3.418453384	602.519728
3.426756213	597.516731
3.435059041	592.5557652
3.44336187	587.6369113
3.418453384	602.5817598
3.426756213	597.563161
3.435059041	592.5881398
3.410150556	607.6139236
3.418453384	602.536411
3.426756213	597.5040583
3.401847727	612.6231631
3.410150556	607.4866541
3.418453384	602.3969652
3.393544899	617.6246495
3.401847727	612.4303743
3.410150556	607.2846065
3.418453384	602.1875711
3.393544899	617.3893031
3.401847727	612.189939
3.410150556	607.0410018
3.38524207	622.3899338
3.393544899	617.140506
3.401847727	611.943092
3.410150556	606.7979235
3.38524207	622.1672532
3.393544899	616.9254725
3.401847727	611.7373643
3.376939242	627.3026723
3.38524207	622.0209574
3.393544899	616.7940814
3.376939242	627.2610177
3.38524207	621.9994276
3.393544899	616.793707
3.368636414	632.6728452
3.376939242	627.3801538
3.38524207	622.1437952
3.368636414	632.9555107
3.376939242	627.6910418
3.38524207	622.483052
3.360333585	638.734794
3.368636414	633.4439367
3.376939242	628.2091879
3.360333585	639.3994799
3.368636414	634.1385043
3.376939242	628.9328645
3.352030757	645.5429991
3.360333585	640.2556769
3.368636414	635.0225738
3.343727928	651.849364
3.352030757	646.535095
3.360333585	641.2736534
3.368636414	636.0649475
3.343727928	652.9433753
3.352030757	647.6525041
3.360333585	642.4127853
3.3354251	659.4427826
3.343727928	654.1213377
3.352030757	648.8493635
3.360333585	643.6267162
3.3354251	660.6419332
3.343727928	655.3366097
3.352030757	650.0789276
3.327122271	667.1791979
3.3354251	661.8396269
3.343727928	656.5460814
3.352030757	651.2983937
3.327122271	668.3295058
3.3354251	662.9995223
3.343727928	657.7139239
3.318819443	674.7851151
3.327122271	669.4183141
3.3354251	664.094603
3.318819443	675.7898673
3.327122271	670.4279889
3.3354251	665.1079442
3.310516614	682.1095195
3.318819443	676.7094788
3.327122271	671.3503992
3.302213786	688.3793056
3.310516614	682.9411004
3.318819443	677.5431869
3.327122271	672.1853986
3.302213786	689.1298257
3.310516614	683.6932131
3.318819443	678.2962454
3.293910957	695.285738
3.302213786	689.8104719
3.310516614	684.37453
3.318819443	678.9777464
